"","year","state_alpha","state_fips","value","Categories","crop_usgs","kg_ha","ld50_ct_ha_bil","ld50_or_ha_bil","unsurveyed","noncrop"
"116033",2014,"PA",42,217,"Pomegranates","Not_surveyed",NA,NA,NA,1,0
"116034",2014,"PA",42,218,"Nectarines","Not_surveyed",NA,NA,NA,1,0
"116035",2014,"PA",42,219,"Greens","Not_surveyed",NA,NA,NA,1,0
"116036",2014,"PA",42,220,"Plums","Orchards_and_grapes",2.77701243301701,34.2717962784329,25.5219059663549,0,0
"116037",2014,"PA",42,221,"Strawberries","Vegetables_and_fruit",1.01949871895794,7.3061935254537,21.6387998105449,0,0
"116038",2014,"PA",42,222,"Squash","Vegetables_and_fruit",1.01949871895794,7.3061935254537,21.6387998105449,0,0
"116039",2014,"PA",42,223,"Apricots","Orchards_and_grapes",2.77701243301701,34.2717962784329,25.5219059663549,0,0
"116040",2014,"PA",42,224,"Vetch","Not_surveyed",NA,NA,NA,1,0
"116041",2014,"PA",42,225,"Dbl Crop WinWht/Corn","Not_surveyed",NA,NA,NA,1,0
"116042",2014,"PA",42,226,"Dbl Crop Oats/Corn","Not_surveyed",NA,NA,NA,1,0
"116043",2014,"PA",42,227,"Lettuce","Vegetables_and_fruit",1.01949871895794,7.3061935254537,21.6387998105449,0,0
"116044",2014,"PA",42,229,"Pumpkins","Vegetables_and_fruit",1.01949871895794,7.3061935254537,21.6387998105449,0,0
"116045",2014,"PA",42,230,"Dbl Crop Lettuce/Durum Wht","Not_surveyed",NA,NA,NA,1,0
"116046",2014,"PA",42,231,"Dbl Crop Lettuce/Cantaloupe","Not_surveyed",NA,NA,NA,1,0
"116047",2014,"PA",42,232,"Dbl Crop Lettuce/Cotton","Not_surveyed",NA,NA,NA,1,0
"116048",2014,"PA",42,233,"Dbl Crop Lettuce/Barley","Not_surveyed",NA,NA,NA,1,0
"116049",2014,"PA",42,234,"Dbl Crop Durum Wht/Sorghum","Not_surveyed",NA,NA,NA,1,0
"116050",2014,"PA",42,235,"Dbl Crop Barley/Sorghum","Not_surveyed",NA,NA,NA,1,0
"116051",2014,"PA",42,236,"Dbl Crop WinWht/Sorghum","Not_surveyed",NA,NA,NA,1,0
"116052",2014,"PA",42,237,"Dbl Crop Barley/Corn","Not_surveyed",NA,NA,NA,1,0
"116053",2014,"PA",42,238,"Dbl Crop WinWht/Cotton","Not_surveyed",NA,NA,NA,1,0
"116054",2014,"PA",42,239,"Dbl Crop Soybeans/Cotton","Not_surveyed",NA,NA,NA,1,0
"116055",2014,"PA",42,240,"Dbl Crop Soybeans/Oats","Not_surveyed",NA,NA,NA,1,0
"116056",2014,"PA",42,241,"Dbl Crop Corn/Soybeans","Not_surveyed",NA,NA,NA,1,0
"116057",2014,"PA",42,242,"Blueberries","Not_surveyed",NA,NA,NA,1,0
"116058",2014,"PA",42,243,"Cabbage","Vegetables_and_fruit",1.01949871895794,7.3061935254537,21.6387998105449,0,0
"116059",2014,"PA",42,244,"Cauliflower","Vegetables_and_fruit",1.01949871895794,7.3061935254537,21.6387998105449,0,0
"116060",2014,"PA",42,245,"Celery","Vegetables_and_fruit",1.01949871895794,7.3061935254537,21.6387998105449,0,0
"116061",2014,"PA",42,246,"Radishes","Not_surveyed",NA,NA,NA,1,0
"116062",2014,"PA",42,247,"Turnips","Not_surveyed",NA,NA,NA,1,0
"116063",2014,"PA",42,248,"Eggplants","Not_surveyed",NA,NA,NA,1,0
"116064",2014,"PA",42,249,"Gourds","Not_surveyed",NA,NA,NA,1,0
"116065",2014,"PA",42,250,"Cranberries","Not_surveyed",NA,NA,NA,1,0
"116066",2014,"PA",42,254,"Dbl Crop Barley/Soybeans","Not_surveyed",NA,NA,NA,1,0
